n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
10000,10000,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,7,TN,3,US,20240823,20240823,,4,1,V,
1000V,0660,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,GA,7,US,20250130,20250130,20050527,4,1,V,
100DG,9952,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,DE,1,US,20240801,20240801,20240528,4,1,V,
100FR,0770,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,,8,DE,20240904,20240904,20031212,4,1,V,
100JB,10290,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,SC,7,US,20241121,20241121,20241029,4,1,V,
100JC,1542,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,FL,7,US,20230122,20170620,20170511,4,1,V,
100MJ,2844,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,AZ,4,US,20230902,20220930,20071204,4,1,V,
100PK,10294,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,NY,1,US,20260421,20260421,20241031,4,1,V,
100PX,0953,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,TX,2,US,20230721,20130319,20040527,4,1,V,
100RZ,0034,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2010,3,VA,1,US,20230818,20190718,20100930,4,1,V,
100TL,0079,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2018,7,AZ,4,US,20230701,20181218,20181005,4,5,V,
100WM,1268,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,WY,S,US,20260528,20260528,20050112,4,1,V,
100XZ,10040,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,7,WI,C,US,20240812,20240812,20240703,4,1,V,
100YW,2215,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,FL,7,US,20230421,20210227,20201207,4,1,V,
100YY,1183,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2002,3,NV,4,US,20230421,20120216,20020322,4,1,V,
100YZ,0814,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,FL,7,US,20230407,20141223,20040126,4,1,V,
100ZW,4086,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2014,7,FL,7,US,20230428,20210309,20190813,4,1,V,
1011G,10795,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,3,NV,4,US,20250801,20250801,20250713,4,1,V,
1014A,1646,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,,,,20250205,20250205,20171215,4,1,V,
1019P,1037,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,7,TX,2,US,20230330,20230330,20000518,4,1,V,
101BE,3759,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2011,7,FL,7,US,20230122,20110618,20110505,4,1,V,
101CD,0101,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,3,FL,7,US,20230304,20080625,20011016,4,1,V,
101FK,3027,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,3,WY,S,US,20260323,20260205,20080603,4,1,V,
