year_mfr,n,sr20,sr22,sr22t,sf50,running_total
1999,4,4,0,0,0,4.0
2000,48,48,0,0,0,52.0
2001,124,33,91,0,0,176.0
2002,274,65,209,0,0,450.0
2003,298,67,231,0,0,748.0
2004,395,57,338,0,0,1143.0
2005,407,59,348,0,0,1550.0
2006,477,103,374,0,0,2027.0
2007,429,70,359,0,0,2456.0
2008,320,53,267,0,0,2776.0
2009,113,10,103,0,0,2889.0
2010,151,21,83,47,0,3040.0
2011,136,15,52,69,0,3176.0
2012,114,19,37,58,0,3290.0
2013,157,13,42,102,0,3447.0
2014,198,16,63,116,3,3645.0
2015,225,22,91,112,0,3870.0
2016,222,19,86,113,4,4092.0
2017,283,39,82,144,18,4375.0
2018,332,56,70,149,56,4707.0
2019,371,48,87,169,67,5078.0
2020,361,46,82,167,65,5439.0
2021,429,73,84,198,74,5868.0
2022,481,86,97,224,74,6349.0
2023,588,104,92,300,92,6937.0
2024,639,114,116,320,88,7576.0
2025,734,145,139,354,94,8310.0
2026,355,80,47,174,54,8665.0
